
style-guide.css
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-secondary-nav ul li a"                                                           no-descending-specificity                        
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-secondary-nav ul li a:visited"                                                   no-descending-specificity                        
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-secondary-nav ul li a:hover"                                                     no-descending-specificity                        
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-secondary-nav ul li a:active"                                                    no-descending-specificity                        
 1248:3   ✖  Unexpected duplicate selector ".cd-main-nav li a", first used at line 316                                                                           no-duplicate-selectors                           
 1254:3   ✖  Expected selector ".cd-main-nav li:first-of-type a" to come before selector ".cd-primary-nav ul li a:visited"                                       no-descending-specificity                        
 1254:3   ✖  Expected selector ".cd-main-nav li:first-of-type a" to come before selector ".cd-primary-nav ul li a:hover"                                         no-descending-specificity                        
 1254:3   ✖  Expected selector ".cd-main-nav li:first-of-type a" to come before selector ".cd-primary-nav ul li a:active"                                        no-descending-specificity                        
 1254:3   ✖  Expected selector ".cd-main-nav li:first-of-type a" to come before selector ".cd-secondary-nav ul li a:visited"                                     no-descending-specificity                        
 1254:3   ✖  Expected selector ".cd-main-nav li:first-of-type a" to come before selector ".cd-secondary-nav ul li a:hover"                                       no-descending-specificity                        
 1254:3   ✖  Expected selector ".cd-main-nav li:first-of-type a" to come before selector ".cd-secondary-nav ul li a:active"                                      no-descending-specificity                        
 1254:3   ✖  Unexpected duplicate selector ".cd-main-nav li:first-of-type a", first used at line 322                                                             no-duplicate-selectors                           
 1288:1   ✖  Unexpected duplicate selector ".nav-is-visible .cd-nav-trigger span::before", first used at line 356                                                no-duplicate-selectors                           
 1294:1   ✖  Unexpected duplicate selector ".nav-is-visible .cd-nav-trigger span::after", first used at line 362                                                 no-duplicate-selectors                           
 1300:1   ✖  Unexpected duplicate selector ".nav-is-visible .cd-main-nav", first used at line 368                                                                no-duplicate-selectors                           
 1307:1   ✖  Expected selector ".cd-download" to come before selector ".no-touch .cd-download:hover"                                                             no-descending-specificity                        
 1307:1   ✖  Unexpected duplicate selector ".cd-download", first used at line 375                                                                                no-duplicate-selectors                           
 1320:3   ✖  Expected selector ".cd-download span" to come before selector ".no-touch .cd-download:hover span"                                                   no-descending-specificity                        
 1320:3   ✖  Expected selector ".cd-download span" to come before selector ".nav-is-visible .cd-nav-trigger span"                                                no-descending-specificity                        
 1320:3   ✖  Expected selector ".cd-download span" to come before selector ".cd-buttons .cd-box:nth-of-type(2) span"                                             no-descending-specificity                        
 1320:3   ✖  Unexpected duplicate selector ".cd-download span", first used at line 388                                                                           no-duplicate-selectors                           
 1335:5   ✖  Expected selector ".cd-download span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                                no-descending-specificity                        
 1335:5   ✖  Expected selector ".cd-download span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                                no-descending-specificity                        
 1335:5   ✖  Expected selector ".cd-download span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                                no-descending-specificity                        
 1335:5   ✖  Unexpected duplicate selector ".cd-download span::before", first used at line 403                                                                   no-duplicate-selectors                           
 1348:3   ✖  Unexpected duplicate selector ".no-touch .cd-download:hover span", first used at line 416                                                           no-duplicate-selectors                           
 1364:1   ✖  Unexpected duplicate selector "main", first used at line 432                                                                                        no-duplicate-selectors                           
 1369:3   ✖  Unexpected duplicate selector "main > h1", first used at line 437                                                                                   no-duplicate-selectors                           
 1390:1   ✖  Unexpected duplicate selector "section", first used at line 458                                                                                     no-duplicate-selectors                           
 1392:3   ✖  Unexpected duplicate selector "section::after", first used at line 460                                                                              no-duplicate-selectors                           
 1396:3   ✖  Unexpected duplicate selector "section:nth-of-type(1) h2::before", first used at line 464                                                           no-duplicate-selectors                           
 1398:3   ✖  Unexpected duplicate selector "section:nth-of-type(2) h2::before", first used at line 466                                                           no-duplicate-selectors                           
 1400:3   ✖  Unexpected duplicate selector "section:nth-of-type(3) h2::before", first used at line 468                                                           no-duplicate-selectors                           
 1402:3   ✖  Unexpected duplicate selector "section:nth-of-type(4) h2::before", first used at line 470                                                           no-duplicate-selectors                           
 1404:3   ✖  Unexpected duplicate selector "section:nth-of-type(5) h2::before", first used at line 472                                                           no-duplicate-selectors                           
 1406:3   ✖  Unexpected duplicate selector "section:nth-of-type(6) h2::before", first used at line 474                                                           no-duplicate-selectors                           
 1408:3   ✖  Unexpected duplicate selector "section:nth-of-type(7) h2::before", first used at line 476                                                           no-duplicate-selectors                           
 1410:3   ✖  Unexpected duplicate selector "section:nth-of-type(8) h2::before", first used at line 478                                                           no-duplicate-selectors                           
 1412:3   ✖  Unexpected duplicate selector "section:nth-of-type(9) h2::before", first used at line 480                                                           no-duplicate-selectors                           
 1414:3   ✖  Unexpected duplicate selector "section:nth-of-type(10) h2::before", first used at line 482                                                          no-duplicate-selectors                           
 1428:1   ✖  Expected selector ".cd-branding .cd-box" to come before selector ".cd-buttons .cd-box:first-of-type"                                                no-descending-specificity                        
 1428:1   ✖  Expected selector ".cd-branding .cd-box" to come before selector ".cd-buttons .cd-box:last-of-type"                                                 no-descending-specificity                        
 1428:1   ✖  Unexpected duplicate selector ".cd-branding .cd-box", first used at line 496                                                                        no-duplicate-selectors                           
